what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140320336
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.newWizard,1237140320418
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1237140320547
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1237140320611
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1237140321638
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1237140330578
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineStart,1237140331091
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140338051
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140339877
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140341160
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140342694
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140344418
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140344846
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140345395
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140349987
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140353800
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140356149
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1237140358434
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1237140360721
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140361315
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140362842
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140363469
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140364537
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordPrevious,1237140367802
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordPrevious,1237140370233
