what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1237140809010
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1237140809228
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1237140809933
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1237140810348
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140816433
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140945488
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237140946118
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237141435369
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237141437012
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237141438024
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordPrevious,1237141440788
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1237141441132
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1237141455533
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1237141455691
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1237141455852
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.wordNext,1237141456045
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237141460951
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1237141461807
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1237141462456
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.delete.line,1237141462630
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1237141462964
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.maximizePart,1237141464699
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1237141465974
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.maximizePart,1237141469417
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.window.maximizePart,1237141470469
